INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1065.65, '2024-07-19 15:39:07', '2025-03-19 05:12:28');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1168.75, '2024-05-25 13:27:50', '2025-09-06 13:28:28');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 844.7, '2024-07-02 18:14:55', '2024-08-09 05:48:18');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 413.74, '2024-06-08 19:56:47', '2025-08-25 04:37:42');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1036.51, '2024-02-09 17:15:00', '2025-03-05 17:46:41');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 895.73, '2025-04-08 12:31:16', '2025-09-17 19:40:59');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1107.97, '2024-07-01 20:42:51', '2025-07-07 11:52:59');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 421.27, '2024-12-21 11:42:00', '2025-10-10 01:09:00');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1262.84, '2024-08-31 22:38:37', '2025-07-02 23:35:44');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1110.07, '2023-11-02 18:35:02', '2024-12-23 19:25:13');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 540.8, '2024-06-13 04:15:03', '2024-10-05 21:43:10');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1277.03, '2024-04-15 19:02:17', '2025-09-25 19:11:39');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 484.11, '2024-03-08 11:19:32', '2024-12-11 15:54:45');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 436.65, '2023-11-21 10:44:09', '2024-12-20 02:31:02');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 419.85, '2024-03-10 17:38:18', '2025-03-27 12:43:44');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1360.61, '2025-01-20 09:43:01', '2025-07-20 04:50:58');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1212.63, '2024-05-28 19:16:37', '2025-06-02 07:20:01');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1244.42, '2024-02-05 09:48:09', '2024-11-26 08:06:24');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 625.31, '2023-11-11 16:09:06', '2025-07-10 16:02:51');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 420.87, '2024-11-30 05:32:02', '2025-02-06 02:00:54');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 463.14, '2024-02-25 10:17:45', '2025-07-11 16:08:21');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 909.29, '2024-07-05 19:14:37', '2025-06-14 03:47:31');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1281.08, '2024-05-09 10:01:55', '2024-09-02 20:03:32');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1301.14, '2024-09-19 06:07:56', '2025-03-25 06:23:58');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 681.85, '2024-10-10 03:57:37', '2025-03-26 14:21:39');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1399.61, '2024-09-13 04:36:08', '2025-06-06 20:39:41');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 866.08, '2023-11-05 18:11:06', '2025-05-29 03:17:56');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 803.45, '2024-08-29 01:50:14', '2025-10-03 09:59:29');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1283.63, '2024-04-01 22:53:18', '2025-02-09 19:37:30');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 760.51, '2024-06-09 21:18:15', '2025-07-11 23:51:49');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1144.59, '2024-03-16 20:21:36', '2025-08-24 15:18:43');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 542.53, '2024-02-25 05:39:13', '2025-08-11 18:42:00');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 486.99, '2023-11-17 09:50:24', '2025-01-03 08:04:13');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 531.83, '2024-06-30 11:40:29', '2025-09-03 14:19:03');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 895.08, '2024-03-21 03:54:10', '2025-08-13 04:24:22');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1238.71, '2023-12-24 11:30:25', '2025-08-22 13:40:53');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 614.15, '2024-01-19 20:24:27', '2025-04-23 18:46:15');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1175.06, '2024-01-29 03:42:25', '2025-08-12 19:00:39');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 759.79, '2025-01-22 06:22:31', '2025-07-22 15:53:15');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1363.31, '2024-01-18 02:42:12', '2025-05-06 16:15:15');
