INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (288.49, 'PLACEHOLDER villkor', '2023-10-21 16:00:15', '2025-03-10 12:27:21');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (155.29, 'PLACEHOLDER villkor', '2024-09-16 03:58:53', '2025-06-21 13:12:57');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (294.84, 'PLACEHOLDER villkor', '2024-04-21 08:49:55', '2025-02-05 23:13:05');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (173.2, 'PLACEHOLDER villkor', '2024-12-20 12:43:41', '2025-09-08 21:25:11');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (279.69, 'PLACEHOLDER villkor', '2024-12-26 09:06:19', '2025-04-18 02:22:37');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (244.71, 'PLACEHOLDER villkor', '2024-10-11 08:15:36', '2025-09-02 03:34:56');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (293.35, 'PLACEHOLDER villkor', '2024-10-31 19:56:44', '2025-01-31 19:31:43');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (246.9, 'PLACEHOLDER villkor', '2025-08-31 04:20:43', '2025-10-07 12:03:05');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (153.45, 'PLACEHOLDER villkor', '2025-01-18 14:24:01', '2025-06-02 21:22:37');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (227.21, 'PLACEHOLDER villkor', '2024-05-28 19:31:37', '2025-04-10 14:07:41');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (246.0, 'PLACEHOLDER villkor', '2024-02-20 22:24:44', '2025-03-13 01:38:38');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (287.18, 'PLACEHOLDER villkor', '2023-11-02 20:08:31', '2025-09-05 10:58:26');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (154.85, 'PLACEHOLDER villkor', '2024-07-22 20:20:11', '2025-05-16 20:03:00');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (176.21, 'PLACEHOLDER villkor', '2024-05-31 16:53:42', '2025-01-28 00:33:14');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (245.5, 'PLACEHOLDER villkor', '2023-12-16 08:39:06', '2025-06-05 01:34:29');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (168.83, 'PLACEHOLDER villkor', '2024-02-06 12:39:34', '2025-08-18 13:43:25');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (252.9, 'PLACEHOLDER villkor', '2024-08-25 16:11:42', '2025-05-10 15:56:08');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (134.31, 'PLACEHOLDER villkor', '2024-02-25 00:49:42', '2025-06-14 06:37:29');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (272.37, 'PLACEHOLDER villkor', '2024-04-03 18:38:44', '2025-07-13 21:56:15');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (115.85, 'PLACEHOLDER villkor', '2024-01-06 03:23:29', '2025-03-31 23:09:09');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (237.96, 'PLACEHOLDER villkor', '2024-04-19 20:52:02', '2025-08-02 12:59:45');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (135.17, 'PLACEHOLDER villkor', '2023-12-25 14:05:17', '2025-08-30 19:15:46');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (147.79, 'PLACEHOLDER villkor', '2023-12-11 20:55:35', '2025-03-14 00:31:22');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (144.71, 'PLACEHOLDER villkor', '2024-01-21 07:17:33', '2025-04-01 07:02:07');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (261.72, 'PLACEHOLDER villkor', '2023-12-16 22:53:44', '2025-03-30 23:37:37');
