INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (9, NULL, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (10, 4, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (11, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (3, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (4, NULL, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (3, 4, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (12, 11, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (7, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (4, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (1, 10, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (1, 8, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (11, NULL, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (11, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (3, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (12, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (8, NULL, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (1, NULL, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (9, NULL, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (5, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (11, 4, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (9, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (10, NULL, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (6, NULL, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (4, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (6, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (5, NULL, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (7, 4, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (4, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (11, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (3, NULL, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (9, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (4, NULL, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (4, 9, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (2, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (10, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (9, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (4, NULL, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (1, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (5, 2, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (6, NULL, 'pagaende');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (12, 4, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (2, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (2, NULL, 'kommande');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (1, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (3, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (6, 1, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (10, 5, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (7, NULL, 'betald');
INSERT INTO faktura (personal_id, erbjudande_id, status) VALUES (3, NULL, 'kommande');
