INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (212.38, 'PLACEHOLDER villkor', '2024-04-21 23:36:54', '2025-07-21 04:25:19');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (271.42, 'PLACEHOLDER villkor', '2024-07-10 11:47:32', '2025-06-27 02:46:27');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (220.6, 'PLACEHOLDER villkor', '2024-03-29 23:55:09', '2024-06-27 08:04:42');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (179.12, 'PLACEHOLDER villkor', '2023-12-30 17:48:57', '2025-07-20 23:04:19');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (229.71, 'PLACEHOLDER villkor', '2025-01-25 17:19:42', '2025-03-12 10:50:53');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (206.8, 'PLACEHOLDER villkor', '2024-08-28 03:04:45', '2025-06-13 14:05:07');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (144.91, 'PLACEHOLDER villkor', '2024-01-06 17:45:08', '2024-09-29 20:26:57');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (223.43, 'PLACEHOLDER villkor', '2023-12-18 05:58:18', '2024-02-15 18:23:32');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (190.11, 'PLACEHOLDER villkor', '2025-03-06 01:57:51', '2025-05-19 00:39:05');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (249.03, 'PLACEHOLDER villkor', '2025-03-26 10:03:07', '2025-06-04 05:37:50');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (125.48, 'PLACEHOLDER villkor', '2023-12-02 17:33:12', '2025-01-29 17:38:57');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (203.27, 'PLACEHOLDER villkor', '2023-10-20 12:15:23', '2024-10-12 20:11:02');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (186.94, 'PLACEHOLDER villkor', '2024-11-27 12:40:32', '2025-08-16 04:58:53');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (100.95, 'PLACEHOLDER villkor', '2025-05-14 13:37:02', '2025-10-16 04:27:45');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (116.46, 'PLACEHOLDER villkor', '2024-04-14 10:35:13', '2025-05-25 11:14:28');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (228.25, 'PLACEHOLDER villkor', '2024-05-14 00:36:25', '2025-01-18 16:17:50');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (259.15, 'PLACEHOLDER villkor', '2024-11-06 17:43:22', '2025-01-02 19:03:38');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (258.99, 'PLACEHOLDER villkor', '2024-03-09 01:38:56', '2025-03-24 14:31:00');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (110.95, 'PLACEHOLDER villkor', '2023-12-13 05:50:38', '2025-10-02 03:34:39');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (131.52, 'PLACEHOLDER villkor', '2023-12-07 12:33:51', '2025-08-29 15:44:22');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (151.66, 'PLACEHOLDER villkor', '2024-10-30 04:20:08', '2025-05-15 11:02:47');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (169.5, 'PLACEHOLDER villkor', '2023-10-17 16:15:23', '2025-10-16 09:44:41');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (282.08, 'PLACEHOLDER villkor', '2024-01-03 09:46:20', '2024-05-12 11:04:21');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (205.3, 'PLACEHOLDER villkor', '2024-10-05 20:49:19', '2025-08-26 07:13:46');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (121.44, 'PLACEHOLDER villkor', '2024-10-07 02:49:51', '2024-10-16 11:48:16');
