INSERT INTO forsaljning (rum_id, personal_id, faktura_id, summa, datum) VALUES (21, 20, 63, 353.21, '2024-10-04 05:50:33');
INSERT INTO forsaljning (rum_id, personal_id, faktura_id, summa, datum) VALUES (37, 6, 53, 203.42, '2025-01-12 18:56:35');
INSERT INTO forsaljning (rum_id, personal_id, faktura_id, summa, datum) VALUES (63, 4, 20, 144.69, '2024-10-27 14:07:23');
INSERT INTO forsaljning (rum_id, personal_id, faktura_id, summa, datum) VALUES (20, 13, 82, 202.35, '2025-01-16 11:33:12');
INSERT INTO forsaljning (rum_id, personal_id, faktura_id, summa, datum) VALUES (56, 7, 4, 373.46, '2025-06-26 05:22:40');
INSERT INTO forsaljning (rum_id, personal_id, faktura_id, summa, datum) VALUES (92, 21, 97, 408.09, '2025-03-18 15:20:44');
INSERT INTO forsaljning (rum_id, personal_id, faktura_id, summa, datum) VALUES (77, 6, 58, 473.77, '2025-09-23 14:32:29');
INSERT INTO forsaljning (rum_id, personal_id, faktura_id, summa, datum) VALUES (3, 3, 96, 213.96, '2024-09-08 21:40:43');
INSERT INTO forsaljning (rum_id, personal_id, faktura_id, summa, datum) VALUES (78, 9, 49, 437.69, '2025-03-21 23:42:31');
INSERT INTO forsaljning (rum_id, personal_id, faktura_id, summa, datum) VALUES (3, 2, 4, 432.77, '2025-09-26 02:46:43');
INSERT INTO forsaljning (rum_id, personal_id, faktura_id, summa, datum) VALUES (88, 2, 96, 252.34, '2024-06-27 15:13:00');
INSERT INTO forsaljning (rum_id, personal_id, faktura_id, summa, datum) VALUES (79, 7, 17, 74.08, '2024-04-21 07:51:46');
INSERT INTO forsaljning (rum_id, personal_id, faktura_id, summa, datum) VALUES (30, 16, 91, 175.47, '2025-04-23 04:35:48');
INSERT INTO forsaljning (rum_id, personal_id, faktura_id, summa, datum) VALUES (10, 25, 18, 280.23, '2024-05-29 22:45:11');
INSERT INTO forsaljning (rum_id, personal_id, faktura_id, summa, datum) VALUES (49, 19, 66, 437.45, '2025-06-30 05:31:26');
INSERT INTO forsaljning (rum_id, personal_id, faktura_id, summa, datum) VALUES (50, 3, 73, 495.1, '2024-06-05 12:45:54');
INSERT INTO forsaljning (rum_id, personal_id, faktura_id, summa, datum) VALUES (74, 23, 54, 327.24, '2024-06-30 12:00:12');
INSERT INTO forsaljning (rum_id, personal_id, faktura_id, summa, datum) VALUES (61, 24, 37, 314.12, '2024-04-19 12:35:07');
INSERT INTO forsaljning (rum_id, personal_id, faktura_id, summa, datum) VALUES (53, 14, 65, 356.38, '2024-12-12 16:46:23');
INSERT INTO forsaljning (rum_id, personal_id, faktura_id, summa, datum) VALUES (62, 16, 14, 67.57, '2025-09-22 18:48:29');
INSERT INTO forsaljning (rum_id, personal_id, faktura_id, summa, datum) VALUES (3, 11, 36, 471.83, '2025-02-16 16:05:39');
INSERT INTO forsaljning (rum_id, personal_id, faktura_id, summa, datum) VALUES (34, 16, 97, 365.22, '2024-06-19 17:29:50');
INSERT INTO forsaljning (rum_id, personal_id, faktura_id, summa, datum) VALUES (44, 4, 19, 482.58, '2025-10-08 05:21:29');
INSERT INTO forsaljning (rum_id, personal_id, faktura_id, summa, datum) VALUES (26, 24, 26, 319.79, '2024-03-19 19:11:21');
INSERT INTO forsaljning (rum_id, personal_id, faktura_id, summa, datum) VALUES (3, 2, 15, 447.04, '2023-11-05 18:53:10');
