INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1396.59, '2024-07-30 09:34:38', '2025-05-16 22:39:36');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 632.44, '2024-01-05 01:44:55', '2024-05-24 09:35:40');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1049.6, '2023-12-12 10:50:33', '2024-08-12 05:10:52');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 710.28, '2023-12-16 05:14:06', '2025-10-05 18:08:42');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1173.09, '2024-02-11 08:34:49', '2024-07-21 23:11:42');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 675.25, '2024-03-14 09:14:07', '2025-07-19 17:38:57');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1247.17, '2024-09-02 02:37:17', '2025-02-20 18:45:22');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 748.96, '2024-08-15 22:11:23', '2025-08-24 13:11:45');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1127.38, '2024-02-22 11:24:24', '2025-02-26 21:09:20');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 929.63, '2024-03-09 16:57:56', '2024-11-18 06:32:21');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 627.93, '2024-10-25 18:32:44', '2025-07-25 06:29:11');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 671.7, '2024-07-02 01:17:07', '2024-08-29 05:20:08');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 924.52, '2025-01-13 21:18:55', '2025-09-20 00:01:22');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1330.82, '2024-03-20 06:26:09', '2024-08-10 17:49:16');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 496.25, '2024-03-24 20:44:59', '2025-07-10 01:32:05');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1252.14, '2023-10-22 03:56:39', '2025-03-19 17:53:37');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1262.99, '2024-01-21 21:47:59', '2025-05-02 15:11:03');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1399.29, '2024-08-09 23:24:31', '2025-06-16 04:18:18');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 512.21, '2024-11-14 01:15:52', '2025-04-12 03:34:05');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 543.48, '2023-10-22 03:28:29', '2025-06-19 02:09:20');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1117.38, '2024-10-15 13:35:24', '2025-07-30 18:10:03');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 735.26, '2024-05-12 15:30:41', '2025-05-24 23:30:12');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1112.49, '2023-12-17 11:31:33', '2025-05-25 08:51:32');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1154.61, '2024-12-27 20:45:27', '2025-09-24 09:04:02');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 885.37, '2024-06-30 08:36:26', '2025-01-20 08:37:10');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 940.09, '2023-12-28 07:05:40', '2025-08-06 13:11:49');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1061.44, '2024-08-09 08:50:17', '2025-06-27 13:54:00');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1095.6, '2024-09-17 20:24:03', '2025-07-04 12:25:35');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 948.64, '2024-07-11 00:33:11', '2025-08-09 10:11:04');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1389.5, '2024-06-03 02:52:25', '2025-05-24 05:06:54');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1202.87, '2024-08-17 23:16:51', '2025-03-31 10:44:32');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 482.92, '2024-01-23 03:04:49', '2025-05-28 07:43:30');
