INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (245.4, 'PLACEHOLDER villkor', '2025-02-16 05:48:22', '2025-05-11 02:53:14');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (140.73, 'PLACEHOLDER villkor', '2024-01-01 01:01:56', '2025-10-01 12:43:09');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (161.18, 'PLACEHOLDER villkor', '2023-12-17 15:07:08', '2025-08-14 01:44:01');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (141.15, 'PLACEHOLDER villkor', '2023-11-15 01:14:08', '2025-01-20 14:18:06');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (258.71, 'PLACEHOLDER villkor', '2024-01-21 14:19:48', '2024-10-21 10:05:28');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (101.04, 'PLACEHOLDER villkor', '2024-08-02 17:02:33', '2025-03-15 16:46:24');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (203.24, 'PLACEHOLDER villkor', '2025-01-29 12:02:18', '2025-06-29 08:11:17');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (194.13, 'PLACEHOLDER villkor', '2025-07-12 19:05:18', '2025-08-06 22:43:17');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (270.23, 'PLACEHOLDER villkor', '2024-03-26 02:01:31', '2025-01-28 15:23:37');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (168.43, 'PLACEHOLDER villkor', '2024-02-20 23:07:20', '2025-09-12 00:29:46');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (143.04, 'PLACEHOLDER villkor', '2024-09-26 02:50:20', '2025-07-18 14:12:45');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (285.74, 'PLACEHOLDER villkor', '2023-11-30 15:46:32', '2025-01-26 17:02:52');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (248.17, 'PLACEHOLDER villkor', '2025-06-20 22:53:48', '2025-09-18 01:22:14');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (218.3, 'PLACEHOLDER villkor', '2024-04-01 09:31:57', '2024-12-11 05:12:26');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (295.04, 'PLACEHOLDER villkor', '2024-01-05 23:41:41', '2025-08-29 09:02:55');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (123.01, 'PLACEHOLDER villkor', '2024-07-31 04:22:19', '2024-11-18 00:18:11');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (226.18, 'PLACEHOLDER villkor', '2024-03-17 09:32:19', '2025-05-27 02:30:53');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (158.29, 'PLACEHOLDER villkor', '2024-06-30 17:26:39', '2025-10-15 03:20:55');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (199.87, 'PLACEHOLDER villkor', '2024-09-07 18:16:15', '2025-03-27 14:57:21');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (154.2, 'PLACEHOLDER villkor', '2024-10-08 02:46:46', '2025-07-15 11:07:45');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (112.87, 'PLACEHOLDER villkor', '2024-10-28 21:16:58', '2025-05-15 21:39:12');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (189.86, 'PLACEHOLDER villkor', '2023-12-11 10:51:51', '2025-06-03 02:07:19');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (180.56, 'PLACEHOLDER villkor', '2024-03-30 12:58:53', '2025-03-22 19:11:22');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (299.84, 'PLACEHOLDER villkor', '2025-02-26 07:15:29', '2025-09-27 11:46:00');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (237.96, 'PLACEHOLDER villkor', '2024-01-22 20:21:15', '2025-09-21 13:58:18');
