INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (31, 19, 4, 6, 56, 2, NULL, '2025-05-01 04:11:31', 1, '2025-06-28', '2025-07-27');
INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (66, 44, 41, 1, 67, NULL, 10, '2024-01-17 21:59:58', 1, '2025-09-11', '2025-09-11');
INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (48, 9, 15, 16, 33, NULL, 11, '2024-06-08 18:01:40', 2, '2024-11-20', '2025-07-08');
INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (100, 93, 66, 9, 79, 3, NULL, '2024-05-04 14:00:20', 1, '2024-07-04', '2025-10-10');
INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (2, 15, 81, 12, 61, NULL, 12, '2024-03-29 09:56:40', 4, '2024-08-21', '2024-11-08');
INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (2, 37, 17, 11, 66, NULL, 13, '2025-01-14 10:01:53', 1, '2025-05-20', '2025-09-08');
INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (97, 67, 72, 18, 61, NULL, 14, '2025-02-04 00:00:14', 1, '2025-09-25', '2025-09-28');
INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (28, 67, 18, 4, 64, NULL, 15, '2025-07-22 16:49:51', 1, '2025-08-24', '2025-09-29');
INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (54, 24, 77, 23, 3, NULL, 16, '2024-05-29 13:07:43', 2, '2025-02-14', '2025-10-04');
INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (24, 32, 60, 25, 33, 2, NULL, '2024-07-16 02:41:09', 4, '2025-06-15', '2025-06-19');
INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (32, 12, 65, 10, 32, NULL, 17, '2025-07-12 16:22:07', 2, '2025-08-18', '2025-08-24');
INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (28, 43, 77, 14, 20, 2, NULL, '2024-07-24 08:49:52', 2, '2025-10-09', '2025-10-12');
INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (1, 36, 75, 24, 63, 1, NULL, '2025-09-11 21:35:27', 4, '2025-09-24', '2025-10-13');
INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (35, 28, 89, 8, 2, 1, NULL, '2024-05-18 02:16:09', 2, '2024-06-04', '2024-06-10');
INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (10, 95, 34, 12, 51, 3, NULL, '2024-07-31 06:05:45', 4, '2024-12-15', '2025-01-29');
INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (20, 26, 39, 9, 49, 3, NULL, '2024-11-14 19:55:06', 2, '2025-08-27', '2025-09-25');
INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (32, 93, 99, 7, 90, 1, NULL, '2024-09-01 23:42:58', 2, '2025-05-15', '2025-09-06');
INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (88, 48, 92, 8, 69, NULL, 18, '2024-09-24 07:05:34', 2, '2025-03-15', '2025-10-08');
INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (90, 24, 75, 23, 33, NULL, 19, '2025-03-18 13:46:14', 1, '2025-05-21', '2025-08-18');
INSERT INTO bokning (rum_id, kund_id, huvud_gast_id, personal_id, rum_pris_id, grupp_bokning_id, faktura_id, bokning_datum, antal_gaster, incheckning, utcheckning) VALUES (82, 18, 3, 4, 84, NULL, 20, '2025-03-07 02:28:50', 1, '2025-04-23', '2025-06-11');
