INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (253.31, 'PLACEHOLDER villkor', '2023-11-10 10:07:29', '2025-02-15 23:41:55');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (234.17, 'PLACEHOLDER villkor', '2025-01-11 03:59:20', '2025-04-04 21:12:31');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (282.95, 'PLACEHOLDER villkor', '2023-11-16 04:28:22', '2025-02-21 07:00:50');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (136.42, 'PLACEHOLDER villkor', '2024-08-30 00:22:38', '2025-05-07 15:36:21');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (188.54, 'PLACEHOLDER villkor', '2024-05-16 10:44:46', '2024-11-24 19:27:32');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (243.52, 'PLACEHOLDER villkor', '2024-05-15 12:50:48', '2024-09-04 10:42:48');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (218.27, 'PLACEHOLDER villkor', '2024-02-02 03:14:11', '2024-11-15 11:11:24');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (202.29, 'PLACEHOLDER villkor', '2023-12-13 18:10:36', '2025-08-23 13:07:01');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (140.28, 'PLACEHOLDER villkor', '2024-10-17 17:39:13', '2025-05-19 20:14:41');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (286.68, 'PLACEHOLDER villkor', '2024-04-30 04:45:29', '2024-08-03 05:25:43');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (100.15, 'PLACEHOLDER villkor', '2025-03-23 14:53:55', '2025-09-30 05:26:59');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (157.79, 'PLACEHOLDER villkor', '2024-11-11 09:25:48', '2025-09-14 06:00:33');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (279.66, 'PLACEHOLDER villkor', '2024-01-12 20:46:43', '2025-04-17 11:11:50');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (103.64, 'PLACEHOLDER villkor', '2024-11-23 16:56:30', '2025-05-21 00:41:29');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (186.52, 'PLACEHOLDER villkor', '2024-11-06 09:01:01', '2025-03-20 14:50:58');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (219.46, 'PLACEHOLDER villkor', '2024-05-25 15:25:55', '2025-08-17 22:51:58');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (134.14, 'PLACEHOLDER villkor', '2024-11-27 00:22:35', '2025-05-21 19:43:14');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (144.94, 'PLACEHOLDER villkor', '2024-02-09 00:17:53', '2025-01-23 18:07:31');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (147.9, 'PLACEHOLDER villkor', '2023-10-22 20:14:24', '2025-02-26 16:37:05');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (208.49, 'PLACEHOLDER villkor', '2023-10-30 00:10:52', '2025-03-18 10:39:49');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (109.42, 'PLACEHOLDER villkor', '2024-06-14 20:25:04', '2024-12-31 19:29:21');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (125.43, 'PLACEHOLDER villkor', '2024-01-22 23:12:43', '2025-04-26 07:12:35');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (244.36, 'PLACEHOLDER villkor', '2025-01-03 13:44:16', '2025-06-14 05:53:21');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (293.68, 'PLACEHOLDER villkor', '2024-01-18 20:57:29', '2024-10-12 11:27:03');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (122.75, 'PLACEHOLDER villkor', '2023-12-16 13:44:24', '2024-01-14 23:04:34');
