INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 475.89, '2025-09-02 07:05:23', '2025-09-12 04:28:07');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 690.13, '2024-08-19 04:01:05', '2024-10-29 20:15:23');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1188.81, '2023-11-13 23:01:30', '2024-12-14 10:49:26');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 413.9, '2023-12-13 08:04:32', '2025-06-03 05:42:00');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1312.52, '2024-02-10 07:44:59', '2025-07-08 15:04:27');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 530.46, '2024-02-29 06:21:05', '2025-06-30 11:06:27');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 477.53, '2023-10-31 13:17:52', '2025-04-07 00:37:59');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 718.91, '2023-12-20 03:20:59', '2025-10-13 06:28:32');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1235.63, '2025-02-10 09:32:44', '2025-08-18 13:08:30');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 429.72, '2024-03-26 00:18:17', '2025-05-08 13:33:40');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1265.3, '2024-02-23 18:20:54', '2025-06-11 17:45:08');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 427.74, '2024-06-12 16:37:47', '2025-02-08 10:50:05');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 443.48, '2024-10-19 23:24:32', '2025-04-21 07:04:19');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 866.39, '2024-05-28 22:40:05', '2025-04-20 09:22:54');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 741.25, '2024-01-17 18:50:10', '2024-11-05 23:05:32');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 871.44, '2025-03-14 19:22:59', '2025-07-05 06:14:40');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 824.06, '2024-06-16 04:22:06', '2025-10-05 21:13:53');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 402.11, '2024-03-24 06:56:16', '2025-03-30 02:41:37');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 900.24, '2024-03-17 09:00:09', '2024-12-09 17:11:52');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 725.97, '2024-09-10 23:58:41', '2025-08-18 12:42:06');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 730.6, '2024-06-01 04:35:45', '2025-07-12 17:00:40');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 847.82, '2024-10-27 20:56:49', '2025-10-09 16:22:32');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1094.03, '2024-04-03 17:11:27', '2024-07-30 11:44:06');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 480.4, '2025-05-07 19:56:30', '2025-09-30 04:48:55');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 486.67, '2023-12-31 16:42:19', '2025-04-23 12:14:49');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 674.21, '2024-07-21 13:14:22', '2025-07-23 14:03:18');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1234.32, '2024-10-30 14:18:16', '2025-04-27 18:53:08');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 737.57, '2024-07-20 19:24:25', '2024-10-23 12:10:02');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 845.23, '2024-01-29 13:42:26', '2025-10-11 09:42:06');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1074.59, '2024-12-13 15:11:37', '2025-04-15 14:45:51');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 862.76, '2024-12-19 02:56:11', '2025-08-13 03:19:38');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 933.12, '2024-06-05 14:37:14', '2025-07-14 03:28:40');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 743.91, '2025-05-22 17:49:50', '2025-07-20 02:19:55');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 844.98, '2024-02-28 17:40:17', '2025-05-21 06:15:42');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1363.39, '2024-03-27 19:28:18', '2025-06-08 20:06:19');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1171.63, '2025-03-04 13:36:43', '2025-03-13 20:49:01');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 770.21, '2023-11-16 10:51:55', '2025-09-26 23:05:21');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1165.9, '2024-07-16 11:26:17', '2025-09-30 09:24:10');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 622.2, '2024-11-21 20:34:40', '2025-08-13 08:04:33');
