INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (146.88, 'PLACEHOLDER villkor', '2025-07-05 06:14:40', '2025-10-10 11:11:32');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (222.49, 'PLACEHOLDER villkor', '2024-02-13 13:10:47', '2025-07-17 16:08:20');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (104.18, 'PLACEHOLDER villkor', '2024-08-12 23:01:53', '2024-10-11 03:27:48');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (179.92, 'PLACEHOLDER villkor', '2024-05-19 00:25:04', '2025-09-21 19:36:08');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (222.04, 'PLACEHOLDER villkor', '2024-01-25 18:34:43', '2024-08-03 13:22:59');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (135.53, 'PLACEHOLDER villkor', '2024-01-06 11:58:48', '2024-11-28 13:13:41');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (245.89, 'PLACEHOLDER villkor', '2025-01-31 12:21:09', '2025-03-17 02:10:06');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (281.76, 'PLACEHOLDER villkor', '2024-09-10 17:25:42', '2025-10-06 20:37:54');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (214.15, 'PLACEHOLDER villkor', '2024-08-08 09:19:59', '2025-03-23 01:11:43');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (244.43, 'PLACEHOLDER villkor', '2024-05-16 14:45:20', '2025-07-03 04:37:38');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (115.43, 'PLACEHOLDER villkor', '2024-06-15 00:55:17', '2025-07-24 21:26:48');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (118.26, 'PLACEHOLDER villkor', '2024-06-28 20:35:11', '2025-06-25 20:00:51');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (287.56, 'PLACEHOLDER villkor', '2024-10-19 00:18:06', '2025-07-16 03:49:13');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (226.44, 'PLACEHOLDER villkor', '2024-01-30 14:44:24', '2025-02-27 04:43:22');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (172.27, 'PLACEHOLDER villkor', '2024-01-27 01:55:52', '2025-05-11 23:22:34');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (101.67, 'PLACEHOLDER villkor', '2025-03-05 05:35:46', '2025-06-09 03:09:35');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (134.22, 'PLACEHOLDER villkor', '2023-11-30 11:53:58', '2025-02-24 00:20:25');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (274.39, 'PLACEHOLDER villkor', '2024-10-22 18:57:44', '2025-05-18 10:30:48');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (254.14, 'PLACEHOLDER villkor', '2024-04-27 15:35:41', '2024-11-01 07:48:14');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (179.22, 'PLACEHOLDER villkor', '2025-06-25 07:28:03', '2025-10-02 03:06:29');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (153.75, 'PLACEHOLDER villkor', '2023-10-23 20:28:00', '2025-07-16 23:41:42');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (127.43, 'PLACEHOLDER villkor', '2024-10-12 12:56:35', '2025-07-04 00:39:46');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (276.35, 'PLACEHOLDER villkor', '2023-12-07 09:04:29', '2025-08-12 08:00:01');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (107.49, 'PLACEHOLDER villkor', '2025-08-24 19:20:32', '2025-10-16 02:32:06');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (140.42, 'PLACEHOLDER villkor', '2023-10-20 20:07:01', '2025-09-26 22:18:06');
