INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (187.38, 'PLACEHOLDER villkor', '2024-11-06 04:20:04', '2025-08-06 19:24:20');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (246.69, 'PLACEHOLDER villkor', '2025-01-16 12:07:48', '2025-07-25 06:42:42');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (272.73, 'PLACEHOLDER villkor', '2024-11-09 15:02:19', '2025-10-12 20:23:11');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (267.36, 'PLACEHOLDER villkor', '2025-06-19 18:36:47', '2025-09-24 00:41:06');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (164.86, 'PLACEHOLDER villkor', '2024-05-31 03:23:03', '2025-08-27 08:01:53');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (293.69, 'PLACEHOLDER villkor', '2024-02-25 20:39:45', '2024-12-11 02:01:43');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (159.18, 'PLACEHOLDER villkor', '2023-11-14 14:27:36', '2025-07-10 21:07:57');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (162.6, 'PLACEHOLDER villkor', '2024-01-19 19:16:42', '2025-08-25 15:39:40');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (174.43, 'PLACEHOLDER villkor', '2024-08-31 04:38:04', '2025-09-11 06:53:08');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (107.44, 'PLACEHOLDER villkor', '2024-03-13 04:48:54', '2025-06-13 04:07:52');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (242.55, 'PLACEHOLDER villkor', '2024-03-16 03:19:30', '2025-04-15 20:47:07');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (129.41, 'PLACEHOLDER villkor', '2023-11-06 05:09:19', '2025-08-14 20:52:30');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (244.09, 'PLACEHOLDER villkor', '2023-11-28 10:40:54', '2025-07-24 21:31:39');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (214.99, 'PLACEHOLDER villkor', '2024-10-31 09:37:29', '2024-12-09 15:01:59');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (221.15, 'PLACEHOLDER villkor', '2023-12-24 01:36:43', '2025-10-04 23:45:14');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (188.29, 'PLACEHOLDER villkor', '2025-05-01 06:59:26', '2025-09-03 16:25:26');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (241.36, 'PLACEHOLDER villkor', '2024-05-23 21:50:03', '2024-06-08 19:13:28');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (101.34, 'PLACEHOLDER villkor', '2024-11-17 11:23:57', '2025-04-29 00:13:22');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (105.66, 'PLACEHOLDER villkor', '2024-06-25 10:46:29', '2025-04-24 18:02:20');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (116.67, 'PLACEHOLDER villkor', '2024-04-22 17:07:35', '2024-08-25 06:32:28');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (242.36, 'PLACEHOLDER villkor', '2023-11-28 21:25:29', '2024-10-08 09:50:00');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (132.74, 'PLACEHOLDER villkor', '2024-04-18 03:16:33', '2025-05-24 22:12:30');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (243.31, 'PLACEHOLDER villkor', '2023-12-24 08:09:36', '2025-08-15 14:32:02');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (115.87, 'PLACEHOLDER villkor', '2025-02-26 15:41:37', '2025-08-11 18:08:54');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (241.78, 'PLACEHOLDER villkor', '2025-02-09 03:52:01', '2025-04-14 19:28:15');
