INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (228.76, 'PLACEHOLDER villkor', '2025-01-29 10:18:29', '2025-07-23 07:09:34');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (185.85, 'PLACEHOLDER villkor', '2024-06-24 21:48:11', '2025-10-13 15:34:16');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (295.19, 'PLACEHOLDER villkor', '2023-11-03 21:47:09', '2025-04-10 13:01:23');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (142.12, 'PLACEHOLDER villkor', '2025-01-01 03:24:49', '2025-09-26 07:35:02');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (162.69, 'PLACEHOLDER villkor', '2024-08-11 00:31:57', '2025-05-25 07:32:10');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (108.07, 'PLACEHOLDER villkor', '2024-10-04 00:27:15', '2025-06-13 17:30:48');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (156.59, 'PLACEHOLDER villkor', '2023-11-06 04:57:49', '2024-08-10 13:41:58');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (153.31, 'PLACEHOLDER villkor', '2025-02-09 13:17:21', '2025-05-03 17:45:44');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (112.74, 'PLACEHOLDER villkor', '2023-12-17 02:07:14', '2025-03-14 11:59:08');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (226.18, 'PLACEHOLDER villkor', '2024-05-01 20:06:28', '2025-05-13 12:09:50');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (247.69, 'PLACEHOLDER villkor', '2024-01-18 14:01:06', '2025-03-05 23:41:37');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (148.15, 'PLACEHOLDER villkor', '2024-08-29 18:25:04', '2025-08-06 06:39:15');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (170.03, 'PLACEHOLDER villkor', '2024-01-04 04:26:04', '2025-03-27 21:19:06');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (167.9, 'PLACEHOLDER villkor', '2025-04-23 06:38:38', '2025-09-30 04:29:49');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (272.56, 'PLACEHOLDER villkor', '2024-01-21 03:23:23', '2025-05-14 14:02:25');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (266.65, 'PLACEHOLDER villkor', '2024-07-23 21:45:49', '2025-10-09 08:36:10');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (244.6, 'PLACEHOLDER villkor', '2024-05-18 14:22:14', '2025-08-08 01:07:27');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (111.82, 'PLACEHOLDER villkor', '2024-03-16 06:42:34', '2025-07-25 12:03:00');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (284.92, 'PLACEHOLDER villkor', '2024-02-12 00:09:20', '2025-09-06 13:00:00');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (148.53, 'PLACEHOLDER villkor', '2023-10-21 19:19:36', '2024-12-21 12:46:01');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (197.62, 'PLACEHOLDER villkor', '2024-01-11 08:39:59', '2025-03-03 19:11:23');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (168.22, 'PLACEHOLDER villkor', '2024-11-13 20:28:37', '2025-03-29 07:51:05');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (281.88, 'PLACEHOLDER villkor', '2024-05-20 03:13:56', '2025-08-23 11:35:14');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (193.26, 'PLACEHOLDER villkor', '2024-11-03 11:45:17', '2025-08-13 02:36:40');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (222.48, 'PLACEHOLDER villkor', '2024-11-07 11:43:19', '2025-09-22 21:22:39');
