INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 818.17, '2024-10-30 11:01:26', '2025-07-09 17:05:39');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 457.88, '2024-12-12 08:37:39', '2025-06-15 09:11:07');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 858.86, '2024-08-04 18:19:10', '2025-09-06 04:15:17');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 473.06, '2024-04-28 14:30:20', '2025-03-30 00:24:42');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 485.18, '2025-01-26 02:58:08', '2025-06-19 16:13:35');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 413.17, '2024-12-30 02:20:01', '2025-10-11 23:45:45');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 522.68, '2024-12-16 07:51:48', '2025-10-15 18:33:52');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 492.6, '2023-11-08 22:55:30', '2024-10-30 01:40:27');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 505.61, '2025-02-20 07:48:46', '2025-05-09 01:56:31');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 716.23, '2024-12-24 14:18:05', '2025-09-06 08:16:45');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 695.46, '2024-05-11 13:06:51', '2025-09-03 23:54:02');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 692.78, '2024-05-31 15:37:26', '2024-07-05 08:03:11');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 478.79, '2025-02-17 21:46:23', '2025-06-12 21:03:05');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1142.78, '2024-02-18 23:30:10', '2025-04-08 04:25:34');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1362.86, '2023-12-17 08:55:25', '2025-07-25 16:07:40');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1312.36, '2024-09-06 05:55:21', '2025-07-06 16:59:10');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1108.39, '2024-06-02 11:42:07', '2025-05-17 03:12:09');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 679.47, '2024-02-18 19:16:42', '2024-11-25 06:34:29');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 479.59, '2024-09-06 19:52:06', '2025-07-25 09:27:06');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 533.02, '2024-04-18 06:27:00', '2025-08-10 01:18:58');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 517.57, '2024-08-12 16:58:35', '2025-08-08 12:10:33');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1157.63, '2024-10-27 07:16:21', '2025-04-09 15:11:24');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1071.12, '2024-04-16 04:23:02', '2025-09-13 14:59:46');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 526.47, '2024-06-07 16:05:19', '2025-05-19 20:05:50');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1378.6, '2024-02-21 03:36:35', '2025-07-27 04:18:09');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 766.46, '2024-01-16 23:59:03', '2024-12-01 03:03:38');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 407.57, '2024-09-29 12:46:44', '2025-06-10 17:27:33');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 434.07, '2024-06-09 16:13:55', '2024-12-11 04:21:43');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 411.65, '2024-03-31 22:17:44', '2025-07-24 20:35:55');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 546.35, '2023-12-07 04:56:59', '2025-09-08 12:07:40');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1019.82, '2024-08-01 14:45:33', '2025-03-11 12:41:17');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 855.28, '2024-07-28 02:26:43', '2025-09-07 23:29:43');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 474.04, '2024-03-17 05:33:27', '2024-09-12 22:20:45');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 421.32, '2024-08-21 12:45:32', '2024-09-19 04:28:09');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 621.91, '2024-12-09 12:06:55', '2025-08-03 06:15:27');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1148.27, '2025-01-06 16:14:29', '2025-04-19 05:22:10');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 425.71, '2024-09-16 00:18:10', '2025-06-30 00:01:50');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 537.09, '2024-04-27 05:19:41', '2025-09-05 02:05:42');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 495.5, '2024-07-12 20:40:48', '2025-09-11 00:20:44');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 707.38, '2023-12-06 06:08:08', '2025-02-19 08:11:43');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 682.47, '2024-04-28 23:40:00', '2024-11-06 05:04:45');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1321.36, '2023-11-09 15:06:57', '2025-07-24 00:19:32');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 647.35, '2023-12-03 19:24:43', '2024-12-29 02:57:30');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 679.68, '2024-07-13 08:06:01', '2025-04-20 16:01:05');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 737.27, '2024-03-30 22:43:47', '2024-12-24 02:15:15');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 515.23, '2024-07-01 21:09:33', '2025-07-20 16:52:06');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 516.69, '2024-09-30 06:42:20', '2025-10-01 16:54:47');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1349.31, '2024-06-05 19:39:21', '2024-12-17 18:27:16');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1144.94, '2024-07-04 11:56:00', '2025-09-13 20:21:40');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 804.2, '2023-11-13 01:08:55', '2025-03-11 16:23:44');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1361.67, '2025-04-29 22:06:22', '2025-08-13 23:40:32');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1295.36, '2023-10-30 22:33:21', '2025-03-21 16:35:18');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1031.73, '2024-10-04 18:13:11', '2025-08-04 00:54:05');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1251.13, '2023-12-31 16:40:03', '2024-06-01 19:43:41');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1077.13, '2023-10-17 08:27:22', '2025-08-05 10:04:20');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1219.86, '2024-07-18 05:43:10', '2025-06-13 22:07:22');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1017.45, '2024-04-29 12:35:58', '2025-09-04 20:53:09');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1114.42, '2023-11-25 09:03:52', '2025-08-01 18:53:24');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 907.4, '2024-12-18 12:42:05', '2025-05-28 16:57:28');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1123.03, '2024-04-10 23:29:57', '2025-04-09 14:27:06');
