INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1140.24, '2024-08-20 20:22:32', '2025-07-21 00:38:21');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 434.84, '2024-10-22 10:59:59', '2025-06-11 23:11:11');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 471.37, '2024-01-26 11:40:53', '2025-08-22 19:36:22');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 906.03, '2024-05-12 10:09:01', '2024-12-28 04:02:39');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 766.85, '2024-02-26 14:09:36', '2025-09-17 07:45:23');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1215.88, '2024-10-13 15:55:35', '2025-08-16 13:53:41');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 764.26, '2025-03-12 06:40:45', '2025-07-07 21:08:20');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1310.04, '2023-11-18 03:32:18', '2024-02-21 10:40:22');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 461.96, '2024-04-13 05:07:55', '2025-03-15 03:26:41');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 813.27, '2024-02-13 03:41:20', '2024-12-05 08:27:11');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 545.64, '2023-11-23 04:09:08', '2024-12-28 18:04:46');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1122.41, '2024-01-26 12:11:48', '2025-08-24 14:29:28');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1015.76, '2025-02-19 16:09:29', '2025-09-13 08:18:20');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1241.04, '2023-12-02 00:34:57', '2024-05-06 16:00:13');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1375.71, '2024-08-19 13:45:30', '2025-07-16 07:55:45');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1191.87, '2023-11-02 12:28:56', '2025-01-16 06:57:42');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 729.15, '2024-03-10 21:52:52', '2025-07-17 00:05:52');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1302.29, '2024-01-13 22:02:34', '2025-09-06 23:32:25');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 510.25, '2025-03-18 22:34:58', '2025-04-23 05:19:28');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 853.27, '2024-09-20 13:45:45', '2025-05-14 09:50:53');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 920.47, '2024-03-29 15:49:50', '2025-07-28 05:02:55');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1001.62, '2023-12-12 16:40:40', '2025-07-01 11:37:58');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1268.16, '2024-07-24 07:22:17', '2025-08-20 17:43:25');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 469.67, '2024-05-04 10:40:15', '2025-01-30 17:20:41');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1030.09, '2025-02-08 17:45:59', '2025-06-14 06:25:11');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('familjerum', 1216.72, '2024-05-29 00:53:22', '2025-06-27 21:10:27');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('enkelrum', 495.42, '2024-05-20 00:26:09', '2024-10-04 10:55:02');
INSERT INTO rum_pris (rum_typ_id, pris_per_natt, start, slut) VALUES ('dubbelrum', 853.96, '2024-10-03 17:14:22', '2025-10-03 10:51:20');
