INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (226.56, 'PLACEHOLDER villkor', '2024-07-16 17:22:18', '2025-02-21 20:43:01');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (205.14, 'PLACEHOLDER villkor', '2024-11-24 20:22:35', '2025-03-29 17:51:41');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (179.99, 'PLACEHOLDER villkor', '2024-09-27 03:56:58', '2025-04-03 16:51:15');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (106.46, 'PLACEHOLDER villkor', '2024-06-03 06:18:12', '2025-07-03 06:30:30');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (191.01, 'PLACEHOLDER villkor', '2024-09-18 14:19:45', '2025-02-08 16:27:30');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (260.57, 'PLACEHOLDER villkor', '2024-07-31 07:36:59', '2025-08-13 05:53:56');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (197.21, 'PLACEHOLDER villkor', '2024-05-31 15:02:49', '2025-09-05 02:28:27');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (261.59, 'PLACEHOLDER villkor', '2023-11-25 01:18:36', '2025-04-15 02:47:46');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (148.02, 'PLACEHOLDER villkor', '2023-12-02 06:55:47', '2024-09-14 09:30:13');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (215.42, 'PLACEHOLDER villkor', '2024-05-28 01:09:43', '2024-11-28 09:16:19');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (289.19, 'PLACEHOLDER villkor', '2024-02-13 10:27:38', '2024-10-28 19:30:05');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (119.87, 'PLACEHOLDER villkor', '2023-10-20 13:00:28', '2025-05-15 00:59:40');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (215.42, 'PLACEHOLDER villkor', '2023-12-02 22:42:27', '2025-06-09 04:00:42');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (218.97, 'PLACEHOLDER villkor', '2023-10-21 05:22:58', '2024-04-28 20:44:31');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (211.5, 'PLACEHOLDER villkor', '2024-06-24 12:37:50', '2025-08-30 05:28:39');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (245.0, 'PLACEHOLDER villkor', '2024-07-28 03:10:45', '2025-08-01 12:19:39');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (211.28, 'PLACEHOLDER villkor', '2024-01-02 05:03:05', '2024-12-23 15:23:32');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (196.56, 'PLACEHOLDER villkor', '2025-01-09 01:56:10', '2025-07-17 09:29:59');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (239.35, 'PLACEHOLDER villkor', '2024-02-21 16:32:48', '2025-07-12 01:30:03');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (296.12, 'PLACEHOLDER villkor', '2024-06-09 09:49:09', '2025-04-22 09:11:58');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (164.72, 'PLACEHOLDER villkor', '2025-02-13 15:21:21', '2025-07-30 01:13:38');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (120.28, 'PLACEHOLDER villkor', '2024-10-30 12:13:26', '2025-01-18 12:50:27');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (161.64, 'PLACEHOLDER villkor', '2024-09-30 12:26:45', '2025-08-04 08:24:06');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (172.94, 'PLACEHOLDER villkor', '2024-03-17 22:04:34', '2025-09-24 15:03:46');
INSERT INTO erbjudande (prisavdrag, villkor, start, slut) VALUES (174.72, 'PLACEHOLDER villkor', '2023-12-31 06:41:34', '2025-07-18 14:08:31');
